dataset,scenario,method,seed,validation_indices_sha256,validation_targets_sha256,test_targets_sha256,selected_checkpoint_round,validation_checkpoint_pr_auc,validation_checkpoint_roc_auc,threshold_selected_on_validation,test_roc_auc,test_pr_auc,validation_accuracy,test_accuracy,validation_balanced_accuracy,test_balanced_accuracy,validation_precision,test_precision,validation_recall,test_recall,validation_fpr,test_fpr,validation_f1,test_f1,validation_predicted_positive_rate,test_predicted_positive_rate
default_credit,alpha_0p1,fedrba,2,e84a1df7f3ef6c8a14a0d8c021688208b3bdd302f3225bb648cdca0819d696aa,7457c6ff90cc6733826842833bdd4b7661c49fe51b522371a445dbb939833b64,44e80d528404258e64d9a9161c45e7ce3e9cdacc14df937e44018b00f54798f8,110,0.4339313937117594,0.6935221472839956,0.019079579040408134,0.7148828807152829,0.45361711135185545,0.6463846634715565,0.6553333333333333,0.6426622564507636,0.6616390942790367,0.3382056451612903,0.3533834586466165,0.6360189573459716,0.6729464958553127,0.3506944444444444,0.3496683072972394,0.44159262915432707,0.46341463414634143,0.4134194623879975,0.4211666666666667
default_credit,alpha_0p1,fedrba,3,7f6ba69ecffd9dbc7ef6864a917ae0a2c7b1d72cb99f6dc484f99aebb39b4e1b,b2baf64eee5fe366d5b2efe314b78d00c6ac565482211081f8f8f0125087c733,d39d1ac8d82263d3a389e4c2d814950d3c7622ff2370f8666b170836d54bc6a1,80,0.5643549551758978,0.7810900346737606,0.35503557324409485,0.7455346826378862,0.5009861445412156,0.776620129193582,0.7628333333333334,0.708300392674433,0.6923420970345284,0.49760765550239233,0.46996245306633294,0.5853658536585366,0.5659382064807837,0.16876506830967053,0.1812540124117269,0.5379310344827586,0.5135042735042734,0.2613044384246718,0.2663333333333333
default_credit,alpha_0p1,fedrba_classagg,1,2391b5121c6418817aeb23921a62aaba79193a2cd0d5a9dda14a5530f397cfa3,a239723fd59dfaf41435a684e8faa9e7a4eb21871c471e04bac38392823c2846,dc87338b86a7da5a9d6ba0e3837170d285d13a053f5cda4e0b5eb31d81bf118c,40,0.5059566807232049,0.7443109613849838,0.0924229621887207,0.7454441337633451,0.5154243583027045,0.742863096478433,0.7476666666666667,0.6981495692389548,0.6993324217703684,0.43454790823211875,0.4484280198565913,0.6192307692307693,0.6126601356443104,0.22293163075285982,0.2139952921035737,0.5107057890563045,0.5178343949044586,0.30881433632006666,0.30216666666666664
default_credit,alpha_0p1,fedrba_classagg,2,e84a1df7f3ef6c8a14a0d8c021688208b3bdd302f3225bb648cdca0819d696aa,7457c6ff90cc6733826842833bdd4b7661c49fe51b522371a445dbb939833b64,44e80d528404258e64d9a9161c45e7ce3e9cdacc14df937e44018b00f54798f8,40,0.42650484198179295,0.6807942945679912,0.010386226698756218,0.6947305554153468,0.4339795444484532,0.7207751614919775,0.7218333333333333,0.639620929031474,0.6511821103161051,0.3927765237020316,0.4013840830449827,0.4947867298578199,0.5244913338357197,0.2155448717948718,0.22212711320350953,0.43791946308724833,0.4547533485788957,0.27693269431131484,0.289
default_credit,alpha_0p1,fedrba_classagg,3,7f6ba69ecffd9dbc7ef6864a917ae0a2c7b1d72cb99f6dc484f99aebb39b4e1b,b2baf64eee5fe366d5b2efe314b78d00c6ac565482211081f8f8f0125087c733,d39d1ac8d82263d3a389e4c2d814950d3c7622ff2370f8666b170836d54bc6a1,150,0.5582521207380403,0.7799859676562518,0.28290608525276184,0.7519821979138764,0.5099935573692032,0.7870389664513441,0.771,0.7160027270593545,0.6908401790593914,0.5181818181818182,0.48432288192128087,0.5881801125703565,0.5470987189148455,0.15617465845164746,0.16541836079606254,0.5509666080843586,0.5138004246284502,0.25213586163784124,0.24983333333333332
default_credit,alpha_0p3,fedavg,1,19fbf5fd37c05707b7c8e3a5f88172884570d4d3ef28b2ca5dedb20f919e0f7a,9c91f3b81b6c5cdb8787ec7f8015dce408542470d556245ac9f3b1f0f947b917,dc87338b86a7da5a9d6ba0e3837170d285d13a053f5cda4e0b5eb31d81bf118c,140,0.5144368394126854,0.7579553373609893,0.32936379313468933,0.7631020512424386,0.5301752215262057,0.7667152676525724,0.7661666666666667,0.69874697708189,0.6936726736397631,0.4680685358255452,0.4758269720101781,0.5789980732177264,0.5636774679728711,0.18150411905394637,0.1763321206933447,0.5176571920757967,0.5160400137978614,0.2674442824411581,0.262
default_credit,alpha_0p3,fedavg,2,9d9383ad11480be4ecfc89d4e911227f437b8e315eb343e93b9a93659a927f3f,56f0bcb9b9550313cb030d7f95fc9e50599f45ef871de21648292d83d16d34a3,44e80d528404258e64d9a9161c45e7ce3e9cdacc14df937e44018b00f54798f8,30,0.5107413406477209,0.7602910142048981,0.2999039590358734,0.7701245478402037,0.5268486402845884,0.7539070639716607,0.7605,0.6940437978025096,0.7002868536741476,0.4534798534798535,0.46730083234244946,0.5872865275142315,0.5923134890730972,0.19919893190921223,0.1917397817248021,0.5117817279867714,0.522432701894317,0.2844342571369035,0.2803333333333333
default_credit,alpha_0p3,fedavg,3,534187c46b15dbb4cae7c9207ce1ece371c5064e341ee044db84622c807fe370,67f105eb54fa6909117e63fc15a8e2c85cce9885378867b3c234d0dbf65e5b08,d39d1ac8d82263d3a389e4c2d814950d3c7622ff2370f8666b170836d54bc6a1,10,0.5105214280577027,0.7486743602439262,0.09229737520217896,0.7577455571787519,0.5098784938456823,0.76780508121616,0.7761666666666667,0.6909747712102983,0.7014414929292052,0.48531810766721045,0.4947437582128778,0.5514365152919369,0.5674453654860587,0.1694869728713403,0.1645623796276482,0.5162689804772234,0.5286065286065287,0.25531028738025824,0.25366666666666665
default_credit,alpha_0p3,fedavg_classweight,1,19fbf5fd37c05707b7c8e3a5f88172884570d4d3ef28b2ca5dedb20f919e0f7a,9c91f3b81b6c5cdb8787ec7f8015dce408542470d556245ac9f3b1f0f947b917,dc87338b86a7da5a9d6ba0e3837170d285d13a053f5cda4e0b5eb31d81bf118c,140,0.5087872067136262,0.7483170737077425,0.4685828685760498,0.7568084609900451,0.5187919025932525,0.7833784628202458,0.784,0.6853080163461593,0.6816495086090774,0.49906191369606,0.512006196746708,0.51252408477842,0.4981160512434062,0.14190805208610147,0.13481703402525147,0.5057034220532319,0.5049656226126814,0.22203707560924807,0.21516666666666667
default_credit,alpha_0p3,fedavg_classweight,2,9d9383ad11480be4ecfc89d4e911227f437b8e315eb343e93b9a93659a927f3f,56f0bcb9b9550313cb030d7f95fc9e50599f45ef871de21648292d83d16d34a3,44e80d528404258e64d9a9161c45e7ce3e9cdacc14df937e44018b00f54798f8,90,0.5158452373851506,0.7614694355282059,0.10648727416992188,0.7694388598356638,0.532310877942334,0.7259845801208585,0.7333333333333333,0.6914925150041928,0.6966056347363221,0.41787287602265577,0.42989214175654855,0.6299810246679317,0.6307460437076111,0.24699599465954603,0.23753477423496683,0.5024593265228907,0.5113011606597435,0.33111064805167745,0.3245
